name_in_data,translation,weight_category,frequency
Mischling klein,mixed breed small,11-20,652
Chihuahua,chihuahua,1-10,495
Labrador Retriever,labrador retriever,71-80,446
Jack Russel Terrier,jack russell terrier,11-20,298
Yorkshire Terrier,yorkshire terrier,1-10,280
Malteser,maltese,1-10,192
Mops,pug,11-20,178
Golden Retriever,golden retriever,61-70,174
Französische Bulldogge,french bulldog,21-30,170
Mischling gross,mixed breed large,61-70,136
Pudel,standard poodle,61-70,108
West Highland White Terrier,west highland white terrier,11-20,105
Border Collie,border collie,31-40,101
Schäfer,shepherd,81-90,93
Pekingese,pekingese,11-20,87
Pinscher,pinscher,31-40,85
Bolonka Zwetna,russian tsvetnaya bolonka,1-10,82
Beagle,beagle,21-30,82
Deutscher Schäfer,german shepherd,81-90,82
Zwergpudel,miniature poodle,11-20,73
Berner Sennenhund,bernese mountain dog,91-100,72
Cocker Spaniel,cocker spaniel,21-30,69
Shih Tzu,shih tzu,11-20,68
Dackel,miniature dachshund,1-10,67
Dachshund,dachshund,21-30,61
Appenzeller,appenzeller sennenhunde,61-70,58
Terrier,terrier,21-30,57
Zwergspitz,pomeranian,1-10,56
Zwergpinscher,miniature pinscher,1-10,55
Cairn Terrier,cairn terrier,11-20,53
Bergamasker,bergamasco sheepdog,71-80,50
Lagotto Romagnolo,lagotto romagnolo,21-30,49
Tibet Terrier,tibetan terrier,21-30,49
Havaneser,havanese,11-20,49
Flat Coated Retriever,flat coated retriever,61-70,45
Papillon,papillon,1-10,44
Podenco,podenco,41-50,43
Boxer,boxer,61-70,42
Rauhaar Dackel,dachshund,21-30,42
Parson Russell Terrier,parson russell terrier,11-20,42
Rhodesian Ridgeback,rhodesian ridgeback,81-90,39
Foxterrier,fox terrier,11-20,39
Australian Shepherd,australian shepherd,11-20,38
Parson Jack Russell Terrier,jack russell terrier,11-20,36
Border Terrier,border terrier,11-20,33
Collie,collie,41-50,33
Cavalier King Charles Spaniel,cavalier king charles spaniel,11-20,33
Spitz,spitz,11-20,32
Zwergschnauzer,miniature schnauzer,11-20,31
English Cocker Spaniel,english cocker spaniel,21-30,29
Continental Bulldog,continental bulldog,51-60,29
Belgischer Schäfer,belgian malinois,51-60,27
Husky,husky,51-60,26
Rottweiler,rottweiler,110-120,26
Dalmatiner,dalmatian,61-70,26
Whippet,whippet,31-40,25
Englische Bulldogge,english bulldog,41-50,25
Coton de Tulear,coton de tulear,1-10,25
Toypudel,toy poodle,1-10,24
Appenzeller Sennenhund,Appenzeller Sennenhund,61-70,24
Labradoodle,labradoodle,71-80,24
Lhasa Apso,lhasa apso,11-20,23
Grosspudel,standard poodle,61-70,22
Mittelpudel,medium poodle,21-30,22
Bichon frisé,bichon frisé,11-20,21
Boston Terrier,boston terrier,11-20,21
Prager Rattler,prague ratter,1-10,20
Magyar Viszla,vizsla,51-60,20
Rehpinscher,mini pinscher,1-10,20
Sheltie,shetland sheepdog,21-30,19
Irish Terrier,irish terrier,21-30,18
Airedale Terrier,airedale terrier,51-60,18
Shiba Inu,shiba inu,11-20,18
Galgo Español,spanish greyhound,51-60,17
Sibirischer Husky,siberian husky,51-60,17
Italienisches Windspiel,italian greyhound,1-10,16
Weimaraner,weimaraner,71-80,16
Schnauzer,schnauzer,11-20,16
Riesenschnauzer,giant schnauzer,91-100,15
Hovawart,hovawart,71-80,15
Bearded Collie,bearded collie,51-60,14
Vizsla,vizsla,51-60,14
Tibetan Spaniel,tibetan spaniel,11-20,14
Deutsche Dogge,great dane,131-140,14
Tervueren,belgian terviren,51-60,14
Griffon,griffon,1-10,13
Irish Setter,irish setter,61-70,13
Chinese Crested,chinese crested dog,1-10,13
